Run_ID,Target_ID,Variable_Group_ID,Model_Type,Seed,Seed_Count,Stage,Status,Result_Origin,Aggregation,Source_Path,Feature_Count,N_Eval,Eval_Row_Hash,Experiment_ID,Params_JSON,Input_Policy,Fold_ID,Best_Epoch
RUN_070,strawberry_third,VG_Fruit_008,random_forest,42.0,,internal_cv,success,new,,,23,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_017,"{""max_depth"": 8, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 500}",all_frozen_category_members,1.0,
RUN_2597,strawberry_third,VG_Fruit_019,tabm,42.0,,internal_cv,success,new,,,22,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_054,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 3, ""weight_decay"": 0.0003}",all_frozen_category_members,3.0,16.0
RUN_3233,strawberry_third,VG_Fruit_013,mlp,42.0,,internal_cv,success,new,,,17,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_020,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""hidden"": [128, 64], ""learning_rate"": 0.001, ""max_epochs"": 500}",all_frozen_category_members,2.0,40.0
RUN_1145,strawberry_third,VG_Fruit_019,tabm,72.0,,validation,success,new,,,22,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_054,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,,6.0
RUN_371,strawberry_third,VG_Fruit_019,tft,42.0,,internal_cv,success,new,,,22,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_054,"{""attention_head_size"": 2, ""batch_size"": 64, ""dropout"": 0.1, ""hidden_continuous_size"": 8, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 100}",all_frozen_category_members,1.0,23.0
RUN_2563,strawberry_third,VG_Fruit_019,random_forest,42.0,,internal_cv,success,new,,,22,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_054,"{""max_depth"": null, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""n_estimators"": 500}",all_frozen_category_members,2.0,
RUN_1516,strawberry_third,VG_Fruit_013,catboost,42.0,,internal_cv,success,new,,,17,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_020,"{""depth"": 6, ""early_stopping_rounds"": 150, ""iterations"": 2000, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",all_frozen_category_members,2.0,345.0
RUN_446,strawberry_third,VG_Fruit_015,tabm,42.0,,internal_cv,success,new,,,18,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_034,"{""batch_size"": 64, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 3, ""weight_decay"": 0.0003}",all_frozen_category_members,2.0,15.0
RUN_3112,strawberry_third,VG_Fruit_008,tabm,52.0,,validation,success,new,,,23,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_017,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,,7.0
RUN_800,strawberry_third,VG_Fruit_019,tabm,42.0,,internal_cv,success,new,,,22,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_054,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 16, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,1.0,8.0
RUN_372,strawberry_third,VG_Fruit_008,catboost,42.0,,internal_cv,success,new,,,23,443.0,0496980f3511c41778288c26f5bba9539e77b135a34113a07913abc3375f66a8,EXP_017,"{""depth"": 6, ""early_stopping_rounds"": 150, ""iterations"": 2000, ""l2_leaf_reg"": 7, ""learning_rate"": 0.03}",all_frozen_category_members,2.0,590.0
RUN_2727,strawberry_third,VG_Fruit_015,catboost,42.0,,screening,success,new,,,18,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_034,"{""depth"": 6, ""early_stopping_rounds"": 100, ""iterations"": 1000, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",all_frozen_category_members,,1000.0
RUN_3945,strawberry_third,VG_Fruit_013,tft,72.0,,validation,success,new,,,17,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_020,"{""attention_head_size"": 2, ""batch_size"": 64, ""dropout"": 0.1, ""hidden_continuous_size"": 8, ""hidden_size"": 32, ""learning_rate"": 0.001, ""max_epochs"": 100}",all_frozen_category_members,,22.0
RUN_2474,strawberry_third,VG_Fruit_015,tabm,42.0,,internal_cv,success,new,,,18,464.0,4ff263dc9b7588960d8e2bb31706517e8f42e4c30b958c7d8b9bd439ac07f4dd,EXP_034,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 3, ""weight_decay"": 0.0003}",all_frozen_category_members,3.0,8.0
RUN_1169,strawberry_third,VG_Fruit_008,tabm,72.0,,validation,success,new,,,23,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_017,"{""batch_size"": 128, ""dropout"": 0.1, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,,7.0
RUN_1855,strawberry_third,VG_Fruit_019,tabm,42.0,,internal_cv,success,new,,,22,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_054,"{""batch_size"": 64, ""dropout"": 0.0, ""early_stopping_rounds"": 50, ""k"": 32, ""learning_rate"": 0.002, ""max_epochs"": 500, ""n_blocks"": 2, ""weight_decay"": 0.0003}",all_frozen_category_members,1.0,12.0
RUN_3577,strawberry_third,VG_Fruit_013,catboost,52.0,,validation,success,new,,,17,780.0,2b1061385894320d8d42a4d2d7d6db17a92650aecb7639bf7be4c58616eee648,EXP_020,"{""depth"": 6, ""early_stopping_rounds"": 150, ""iterations"": 2000, ""l2_leaf_reg"": 7, ""learning_rate"": 0.07}",all_frozen_category_members,,423.0
RUN_2100,strawberry_third,VG_Fruit_019,random_forest,42.0,,internal_cv,success,new,,,22,808.0,9892255f8a3e61d74db314803ed2a79ecd73f0b1da8460d0b2882ae9004ad592,EXP_054,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""n_estimators"": 500}",all_frozen_category_members,1.0,
