Run_ID,Experiment_ID,Crop_Target,Prediction_Target,Variable_Group_ID,Model_Type,Seed,Eval_Split,Fold_ID,Metric_Name,Metric_Value,Metric_Status,N_Eval,Result_Origin,Eval_Row_Hash,Aggregation
RUN_024,EXP_031,딸기,1화방 착과수,VG_Fruit_001,random_forest,,validation,,CCC,0.7703230680330956,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_032,EXP_031,딸기,1화방 착과수,VG_Fruit_001,catboost,,validation,,RMSE,2.2353853183881065,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_032,EXP_031,딸기,1화방 착과수,VG_Fruit_001,catboost,,validation,,MAE,1.6464572406735054,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_032,EXP_031,딸기,1화방 착과수,VG_Fruit_001,catboost,,validation,,R2,0.627244576314307,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_032,EXP_031,딸기,1화방 착과수,VG_Fruit_001,catboost,,validation,,CCC,0.777734709161902,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_019,EXP_031,딸기,1화방 착과수,VG_Fruit_001,mlp,,validation,,RMSE,3.258087633761073,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_019,EXP_031,딸기,1화방 착과수,VG_Fruit_001,mlp,,validation,,MAE,2.6369801002078583,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_019,EXP_031,딸기,1화방 착과수,VG_Fruit_001,mlp,,validation,,R2,0.208146745956482,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_019,EXP_031,딸기,1화방 착과수,VG_Fruit_001,mlp,,validation,,CCC,0.5627615586546115,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_036,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tabm,,validation,,RMSE,1.8892982476302889,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
RUN_036,EXP_031,딸기,1화방 착과수,VG_Fruit_001,tabm,,validation,,MAE,1.5450633790757922,available,,legacy,legacy_unverified,source_reported_unknown_or_ensemble
