timestamp,split,tomato_flower_truss1_n_observed,tomato_flower_truss2_n_observed,tomato_flower_truss3_n_observed,tomato_flower_total_n_observed,strawberry_fruit_truss1_n_observed,strawberry_fruit_truss2_n_observed,strawberry_fruit_truss3_n_observed,strawberry_fruit_total_n_observed
2025-01-14,validation,,,,,17.0,17.0,17.0,17.0
2025-01-15,test,,,,,9.0,9.0,9.0,9.0
2025-01-15,train,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2025-01-15,validation,9.0,9.0,9.0,9.0,,,,
2025-01-16,validation,9.0,9.0,9.0,9.0,,,,
2025-01-19,train,,,,,25.0,25.0,25.0,25.0
2025-01-20,train,16.0,16.0,16.0,16.0,45.0,45.0,45.0,45.0
2025-01-20,validation,,,,,9.0,9.0,9.0,9.0
2025-01-21,test,9.0,9.0,9.0,9.0,,,,
2025-01-21,train,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2025-01-22,test,,,,,16.0,16.0,16.0,16.0
2025-01-22,train,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2025-01-22,validation,9.0,9.0,9.0,9.0,,,,
2025-01-23,train,9.0,9.0,9.0,9.0,,,,
2025-01-23,validation,9.0,9.0,9.0,9.0,,,,
2025-01-25,train,9.0,9.0,9.0,9.0,,,,
2025-01-26,test,9.0,9.0,9.0,9.0,,,,
2025-01-26,train,16.0,16.0,16.0,16.0,24.0,24.0,24.0,24.0
2025-01-27,test,,,,,25.0,25.0,25.0,25.0
2025-01-27,train,,,,,9.0,9.0,9.0,9.0
2025-01-27,validation,,,,,17.0,17.0,17.0,17.0
2025-01-31,train,8.0,8.0,8.0,8.0,,,,
2025-02-01,validation,9.0,9.0,9.0,9.0,,,,
2025-02-03,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2025-02-03,validation,,,,,9.0,9.0,9.0,9.0
2025-02-04,test,,,,,15.0,15.0,15.0,15.0
2025-02-04,train,25.0,25.0,25.0,25.0,27.0,27.0,27.0,27.0
2025-02-05,test,9.0,9.0,9.0,9.0,,,,
2025-02-05,train,9.0,9.0,9.0,9.0,,,,
2025-02-06,test,,,,,9.0,9.0,9.0,9.0
2025-02-06,train,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0
2025-02-06,validation,,,,,16.0,16.0,16.0,16.0
2025-02-07,validation,9.0,9.0,9.0,9.0,,,,
2025-02-09,train,,,,,24.0,24.0,24.0,24.0
2025-02-10,train,26.0,26.0,26.0,26.0,45.0,45.0,45.0,45.0
2025-02-10,validation,,,,,9.0,9.0,9.0,9.0
2025-02-11,test,9.0,9.0,9.0,9.0,24.0,24.0,24.0,24.0
2025-02-11,train,18.0,18.0,18.0,18.0,27.0,27.0,27.0,27.0
2025-02-11,validation,,,,,16.0,16.0,16.0,16.0
2025-02-12,train,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0
2025-02-13,validation,9.0,9.0,9.0,9.0,,,,
2025-02-14,train,,,,,24.0,24.0,24.0,24.0
2025-02-17,train,26.0,26.0,26.0,26.0,45.0,45.0,45.0,45.0
2025-02-17,validation,,,,,9.0,9.0,9.0,9.0
2025-02-18,test,9.0,9.0,9.0,9.0,15.0,15.0,15.0,15.0
2025-02-18,train,18.0,18.0,18.0,18.0,,,,
2025-02-19,train,8.0,8.0,8.0,8.0,27.0,27.0,27.0,27.0
2025-02-20,test,,,,,9.0,9.0,9.0,9.0
2025-02-20,train,,,,,9.0,9.0,9.0,9.0
2025-02-20,validation,9.0,9.0,9.0,9.0,16.0,16.0,16.0,16.0
2025-02-22,train,,,,,24.0,24.0,24.0,24.0
2025-02-24,train,18.0,18.0,18.0,18.0,45.0,45.0,45.0,45.0
2025-02-24,validation,,,,,9.0,9.0,9.0,9.0
2025-02-25,test,,,,,15.0,15.0,15.0,15.0
2025-02-25,train,9.0,9.0,9.0,9.0,24.0,24.0,24.0,24.0
2025-02-26,test,9.0,9.0,9.0,9.0,,,,
2025-02-26,train,9.0,9.0,9.0,9.0,,,,
2025-02-27,train,16.0,16.0,16.0,16.0,,,,
2025-02-28,test,,,,,9.0,9.0,9.0,9.0
2025-02-28,train,,,,,27.0,27.0,27.0,27.0
2025-02-28,validation,9.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0
2025-03-03,train,17.0,17.0,17.0,17.0,45.0,45.0,45.0,45.0
2025-03-03,validation,,,,,9.0,9.0,9.0,9.0
2025-03-04,test,9.0,9.0,9.0,9.0,,,,
2025-03-04,train,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0
2025-03-05,test,,,,,15.0,15.0,15.0,15.0
2025-03-05,train,17.0,17.0,17.0,17.0,24.0,24.0,24.0,24.0
2025-03-06,test,,,,,9.0,9.0,9.0,9.0
2025-03-06,train,,,,,9.0,9.0,9.0,9.0
2025-03-06,validation,,,,,14.0,14.0,14.0,14.0
2025-03-08,train,,,,,18.0,18.0,18.0,18.0
2025-03-10,train,26.0,26.0,26.0,26.0,45.0,45.0,45.0,45.0
2025-03-10,validation,,,,,9.0,9.0,9.0,9.0
2025-03-11,test,9.0,9.0,9.0,9.0,14.0,14.0,14.0,14.0
2025-03-11,train,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0
2025-03-12,train,8.0,8.0,8.0,8.0,24.0,24.0,24.0,24.0
2025-03-13,validation,9.0,9.0,9.0,9.0,,,,
2025-03-14,test,,,,,9.0,9.0,9.0,9.0
2025-03-14,train,,,,,26.0,26.0,26.0,26.0
2025-03-14,validation,,,,,14.0,14.0,14.0,14.0
2025-03-17,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2025-03-17,validation,,,,,9.0,9.0,9.0,9.0
2025-03-18,test,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0
2025-03-18,train,18.0,18.0,18.0,18.0,33.0,33.0,33.0,33.0
2025-03-19,train,8.0,8.0,8.0,8.0,,,,
2025-03-20,test,,,,,9.0,9.0,9.0,9.0
2025-03-20,train,,,,,26.0,26.0,26.0,26.0
2025-03-20,validation,,,,,14.0,14.0,14.0,14.0
2025-03-22,validation,9.0,9.0,9.0,9.0,,,,
2025-03-24,train,,,,,45.0,45.0,45.0,45.0
2025-03-24,validation,,,,,9.0,9.0,9.0,9.0
2025-03-25,test,,,,,10.0,10.0,10.0,10.0
2025-03-25,train,18.0,18.0,18.0,18.0,9.0,9.0,9.0,9.0
2025-03-26,test,9.0,9.0,9.0,9.0,,,,
2025-03-26,train,9.0,9.0,9.0,9.0,,,,
2025-03-27,train,,,,,24.0,24.0,24.0,24.0
2025-03-28,test,,,,,9.0,9.0,9.0,9.0
2025-03-28,train,8.0,8.0,8.0,8.0,26.0,26.0,26.0,26.0
2025-03-28,validation,,,,,14.0,14.0,14.0,14.0
2025-03-29,validation,9.0,9.0,9.0,9.0,,,,
2025-03-31,train,,,,,45.0,45.0,45.0,45.0
2025-03-31,validation,,,,,9.0,9.0,9.0,9.0
2025-04-01,test,,,,,9.0,9.0,9.0,9.0
2025-04-01,train,17.0,17.0,17.0,17.0,9.0,9.0,9.0,9.0
2025-04-02,test,9.0,9.0,9.0,9.0,,,,
2025-04-02,train,17.0,17.0,17.0,17.0,24.0,24.0,24.0,24.0
2025-04-03,validation,9.0,9.0,9.0,9.0,,,,
2025-04-04,test,,,,,9.0,9.0,9.0,9.0
2025-04-04,train,,,,,26.0,26.0,26.0,26.0
2025-04-04,validation,,,,,14.0,14.0,14.0,14.0
2025-04-07,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2025-04-07,validation,,,,,9.0,9.0,9.0,9.0
2025-04-08,test,9.0,9.0,9.0,9.0,13.0,13.0,13.0,13.0
2025-04-08,train,17.0,17.0,17.0,17.0,9.0,9.0,9.0,9.0
2025-04-09,train,,,,,24.0,24.0,24.0,24.0
2025-04-09,validation,9.0,9.0,9.0,9.0,,,,
2025-04-10,test,,,,,9.0,9.0,9.0,9.0
2025-04-10,train,,,,,26.0,26.0,26.0,26.0
2025-04-10,validation,,,,,14.0,14.0,14.0,14.0
2025-04-14,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2025-04-14,validation,,,,,9.0,9.0,9.0,9.0
2025-04-15,test,9.0,9.0,9.0,9.0,,,,
2025-04-15,train,17.0,17.0,17.0,17.0,9.0,9.0,9.0,9.0
2025-04-16,validation,9.0,9.0,9.0,9.0,,,,
2025-04-18,train,,,,,17.0,17.0,17.0,17.0
2025-04-19,test,,,,,9.0,9.0,9.0,9.0
2025-04-19,train,,,,,25.0,25.0,25.0,25.0
2025-04-19,validation,,,,,13.0,13.0,13.0,13.0
2025-04-21,train,9.0,9.0,9.0,9.0,45.0,45.0,45.0,45.0
2025-04-21,validation,,,,,9.0,9.0,9.0,9.0
2025-04-22,test,9.0,9.0,9.0,9.0,,,,
2025-04-22,train,17.0,17.0,17.0,17.0,9.0,9.0,9.0,9.0
2025-04-23,validation,9.0,9.0,9.0,9.0,,,,
2025-04-24,train,,,,,9.0,9.0,9.0,9.0
2025-04-25,train,,,,,8.0,8.0,8.0,8.0
2025-04-26,test,,,,,9.0,9.0,9.0,9.0
2025-04-26,train,,,,,25.0,25.0,25.0,25.0
2025-04-26,validation,,,,,13.0,13.0,13.0,13.0
2025-04-28,train,9.0,9.0,9.0,9.0,54.0,54.0,54.0,54.0
2025-04-28,validation,,,,,9.0,9.0,9.0,9.0
2025-04-29,test,9.0,9.0,9.0,9.0,,,,
2025-04-29,train,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2025-04-30,test,,,,,8.0,8.0,8.0,8.0
2025-04-30,train,,,,,24.0,24.0,24.0,24.0
2025-04-30,validation,9.0,9.0,9.0,9.0,11.0,11.0,11.0,11.0
2025-05-21,test,,,,,7.0,7.0,7.0,7.0
2025-05-21,train,,,,,16.0,16.0,16.0,16.0
2025-05-22,train,,,,,9.0,9.0,9.0,9.0
2025-05-23,train,9.0,9.0,9.0,9.0,27.0,27.0,27.0,27.0
