timestamp,split,tomato_flower_truss1,tomato_flower_truss2,tomato_flower_truss3,tomato_flower_total,strawberry_fruit_truss1,strawberry_fruit_truss2,strawberry_fruit_truss3,strawberry_fruit_total
2025-03-17,validation,,,,,0,17,19,36
2025-03-18,train,0,0,0,39,13,33,84,130
2025-03-18,test,0,0,0,12,0,6,17,23
2025-03-19,train,0,0,0,16,,,,
2025-03-20,train,,,,,0,0,14,14
2025-03-20,validation,,,,,0,3,11,14
2025-03-20,test,,,,,0,0,6,6
2025-03-22,validation,0,0,0,14,,,,
2025-03-24,train,,,,,0,11,183,194
2025-03-24,validation,,,,,0,0,29,29
2025-03-25,train,0,0,0,19,0,0,6,6
2025-03-25,test,,,,,0,2,3,5
2025-03-26,train,0,0,0,26,,,,
2025-03-26,test,0,0,0,23,,,,
2025-03-27,train,,,,,4,21,67,92
2025-03-28,train,0,0,0,17,0,0,4,4
2025-03-28,validation,,,,,0,0,6,6
2025-03-28,test,,,,,0,0,2,2
2025-03-29,validation,0,0,0,7,,,,
2025-03-31,train,,,,,0,0,64,64
2025-03-31,validation,,,,,0,0,9,9
2025-04-01,train,0,0,0,25,0,0,0,0
2025-04-01,test,,,,,0,0,0,0
2025-04-02,train,0,0,0,19,0,10,52,62
2025-04-02,test,0,0,0,19,,,,
2025-04-03,validation,0,0,0,0,,,,
2025-04-04,train,,,,,0,0,0,0
2025-04-04,validation,,,,,0,0,0,0
2025-04-04,test,,,,,0,0,2,2
2025-04-07,train,0,0,0,20,0,0,51,51
2025-04-07,validation,,,,,0,0,0,0
2025-04-08,train,0,0,0,19,0,0,0,0
2025-04-08,test,0,0,0,12,0,0,0,0
2025-04-09,train,,,,,0,6,39,45
2025-04-09,validation,0,0,0,1,,,,
2025-04-10,train,,,,,3,0,0,3
2025-04-10,validation,,,,,0,0,0,0
2025-04-10,test,,,,,0,0,0,0
2025-04-14,train,0,0,0,18,0,0,3,3
2025-04-14,validation,,,,,0,0,0,0
2025-04-15,train,0,0,0,31,0,0,0,0
2025-04-15,test,0,0,0,21,,,,
2025-04-16,validation,0,0,0,0,,,,
2025-04-18,train,,,,,4,0,0,4
2025-04-19,train,,,,,0,0,0,0
2025-04-19,validation,,,,,0,0,0,0
2025-04-19,test,,,,,0,0,0,0
2025-04-21,train,0,0,0,26,0,0,0,0
2025-04-21,validation,,,,,0,0,0,0
2025-04-22,train,0,0,0,27,0,0,0,0
2025-04-22,test,0,0,0,14,,,,
2025-04-23,validation,0,0,0,0,,,,
2025-04-24,train,,,,,0,0,0,0
2025-04-25,train,,,,,0,0,0,0
2025-04-26,train,,,,,0,0,0,0
2025-04-26,validation,,,,,0,0,0,0
2025-04-26,test,,,,,0,0,0,0
2025-04-28,train,0,0,0,12,0,0,0,0
2025-04-28,validation,,,,,0,0,0,0
2025-04-29,train,0,0,0,26,0,0,0,0
2025-04-29,test,0,0,0,20,,,,
2025-04-30,train,,,,,0,0,0,0
2025-04-30,validation,0,0,0,0,0,0,0,0
2025-04-30,test,,,,,0,0,0,0
2025-05-21,train,,,,,0,0,0,0
2025-05-21,test,,,,,0,0,0,0
2025-05-22,train,,,,,0,0,0,0
2025-05-23,train,0,0,0,0,0,0,0,0
2025-05-23,validation,,,,,0,0,0,0
2025-05-24,train,,,,,0,0,0,0
2025-05-25,train,0,0,0,0,,,,
2025-05-28,test,,,,,0,0,0,0
2025-05-29,train,0,0,0,2,0,0,0,0
2025-05-29,validation,,,,,0,0,0,0
2025-05-30,train,0,0,0,5,,,,
2025-06-05,train,,,,,0,0,0,0
2025-06-05,validation,,,,,0,0,0,0
2025-06-06,train,0,0,0,12,,,,
2025-06-07,train,0,0,0,0,,,,
2025-06-13,train,0,0,0,16,,,,
2025-08-06,train,12,25,,37,,,,
2025-08-13,train,1,4,16,24,,,,
2025-08-20,train,0,0,6,32,,,,
2025-09-03,train,0,0,0,22,,,,
2025-09-10,train,12,20,0,59,,,,
2025-09-10,test,10,9,,19,,,,
2025-09-17,train,0,8,15,46,,,,
2025-09-17,test,5,21,7,33,,,,
2025-09-23,test,2,10,,12,,,,
2025-09-24,train,22,46,158,277,,,,
2025-10-01,train,0,0,0,44,,,,
2025-10-01,test,0,10,11,21,,,,
2025-10-08,train,0,0,0,43,,,,
2025-10-08,test,0,0,1,38,,,,
2025-10-11,test,0,0,7,20,,,,
2025-10-15,test,0,0,2,52,,,,
2025-10-20,train,8,10,9,27,,,,
2025-10-21,validation,15,9,,24,,,,
2025-10-21,test,0,0,0,16,,,,
2025-10-27,train,4,,,4,,,,
2025-10-27,test,0,0,0,15,,,,
2025-10-28,validation,15,21,,36,,,,
2025-11-04,train,10,3,,13,,,,
2025-11-04,validation,3,4,2,9,,,,
2025-12-15,train,,,,,5,4,2,11
2025-12-22,train,,,,,6,6,4,16
2025-12-29,train,,,,,2,3,2,7
2026-01-05,train,,,,,1,2,2,5
2026-01-12,train,,,,,1,2,2,5
2026-01-19,train,,,,,8,15,4,27
2026-01-26,train,,,,,9,14,5,28
2026-02-02,train,,,,,3,14,8,25
2026-02-10,train,,,,,3,7,2,12
2026-02-20,train,,,,,10,5,4,19
2026-02-25,train,,,,,26,18,15,59
2026-03-04,train,,,,,0,0,0,0
2026-03-05,train,,,,,16,14,11,41
2026-03-11,train,,,,,0,0,10,10
2026-03-12,train,,,,,3,11,11,25
2026-03-18,train,,,,,0,0,4,4
2026-03-19,train,,,,,1,8,13,22
2026-03-25,train,,,,,0,3,37,40
2026-03-26,train,,,,,0,4,19,23
2026-04-01,train,,,,,0,2,46,48
2026-04-02,train,,,,,0,0,17,17
2026-04-07,train,,,,,0,0,0,0
2026-04-08,train,,,,,0,10,45,55
2026-04-08,test,,,,,0,0,6,6
2026-04-09,train,,,,,0,0,10,10
